Player,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Year,Team,Affiliation,RoundNumber,RoundPick,OverallPick
MarJon Beauchamp,SG,-,-,-,-,-,2022,Milwaukee Bucks,Ignite (G League),1,24,24
Hugo Besson,SG,11.36,3.25,3.40,24.5,31.5,2022,Indiana Pacers,Breakers (New Zealand),2,28,58
Malaki Branham,SG,11.38,3.09,3.17,29.0,35.0,2022,San Antonio Spurs,Ohio State,1,20,20
Christian Braun,SG,11.00,3.13,3.16,33.5,40.0,2022,Denver Nuggets,Kansas,1,21,21
Kendall Brown,SF,11.57,3.05,3.29,31.5,41.0,2022,Minnesota Timberwolves,Baylor,2,18,48
John Butler Jr.,PF,11.16,3.04,3.33,26.5,28.5,2022,,,,,
Julian Champagnie,SF,11.39,3.04,3.14,28.5,34.5,2022,,,,,
Kennedy Chandler,PG,10.73,2.89,-,31.0,41.5,2022,San Antonio Spurs,Tennessee,2,8,38
Max Christie,SG,10.82,3.02,3.07,32.0,37.5,2022,Los Angeles Lakers,Michigan State,2,5,35
Kofi Cockburn,C,12.11,3.31,3.33,29.5,32.5,2022,,,,,
Dyson Daniels,SG,10.81,2.81,3.22,29.0,34.0,2022,New Orleans Pelicans,Ignite (G League),1,8,8
Johnny Davis,PG,-,-,-,-,-,2022,Washington Wizards,Wisconsin,1,10,10
JD Davison,PG,11.38,3.23,3.26,30.0,37.0,2022,Boston Celtics,Alabama,2,23,53
Darius Days,SF-PF,-,-,-,-,-,2022,,,,,
Moussa Diabate,C,11.16,2.90,3.26,29.0,36.5,2022,,,,,
Ousmane Dieng,SF,-,-,-,-,-,2022,New York Knicks,Breakers (New Zealand),1,11,11
Khalifa Diop,C,-,-,-,-,-,2022,Cleveland Cavaliers,CB Gran Canaria (Spain),2,9,39
Jalen Duren,C,-,-,-,-,-,2022,Charlotte Hornets,Memphis,1,13,13
Tari Eason,PF,-,-,-,-,-,2022,Houston Rockets,Louisiana State,1,17,17
Keon Ellis,SG,10.87,3.02,3.18,28.0,35.5,2022,,,,,
Michael Foster Jr.,C,11.49,3.10,3.22,28.0,32.5,2022,,,,,
Collin Gillespie,PG,10.95,3.01,3.21,26.5,33.0,2022,,,,,
AJ Griffin,SF,-,-,-,-,-,2022,Atlanta Hawks,Duke,1,16,16
Jaden Hardy,SG,-,-,-,-,-,2022,Sacramento Kings,Ignite (G League),2,7,37
Ron Harper Jr.,SF,11.41,3.24,3.40,26.0,30.5,2022,,,,,
Chet Holmgren,PF,-,-,-,-,-,2022,Oklahoma City Thunder,Gonzaga,1,2,2
Harrison Ingram,SF,11.83,3.26,3.31,29.5,35.0,2022,,,,,
Jaden Ivey,PG,-,-,-,-,-,2022,Detroit Pistons,Purdue,1,5,5
Trayce Jackson-Davis,C,-,-,-,-,-,2022,,,,,
Nikola Jovic,SF,-,-,-,-,-,2022,,,,,
Johnny Juzang,SG,11.03,3.17,3.29,27.5,32.5,2022,,,,,
Ismael Kamagate,PF,-,-,-,-,-,2022,Detroit Pistons,Paris (France),2,16,46
Trevor Keels,SG,11.33,3.32,3.27,24.5,31.0,2022,New York Knicks,Duke,2,12,42
Walker Kessler,C,-,-,-,-,-,2022,Memphis Grizzlies,Auburn,1,22,22
Christian Koloko,C,11.30,3.19,3.27,28.0,33.5,2022,Toronto Raptors,Arizona,2,3,33
Jake LaRavia,PF,10.58,2.89,3.37,27.5,34.0,2022,Minnesota Timberwolves,Wake Forest,1,19,19
Justin Lewis,PF,11.49,3.02,3.23,32.5,35.0,2022,,,,,
E.J. Liddell,PF,11.11,3.23,3.26,35.5,38.0,2022,New Orleans Pelicans,Ohio State,2,11,41
Kenneth Lofton Jr.,PF-C,-,-,-,-,-,2022,,,,,
Tyrese Martin,SG-SF,-,-,-,-,-,2022,Golden State Warriors,Connecticut,2,21,51
Bennedict Mathurin,SG,-,-,-,-,-,2022,Indiana Pacers,Arizona,1,6,6
Matthew Mayer,SF,10.74,-,3.39,25.5,31.5,2022,,,,,
Bryce McGowens,SG,11.12,3.16,3.27,29.5,34.0,2022,Minnesota Timberwolves,Nebraska,2,10,40
Leonard Miller,SF,11.11,3.02,3.36,30.0,36.5,2022,,,,,
Josh Minnott,PF,-,-,-,-,-,2022,,,,,
Aminu Mohammed,SG-SF,11.54,3.04,3.33,29.5,36.0,2022,,,,,
Iverson Molinar,PG,11.23,3.10,3.19,31.0,38.0,2022,,,,,
Jean Montero,PG,11.19,3.17,3.17,29.5,37.0,2022,,,,,
Wendell Moore,SG,10.94,3.21,3.30,32.5,38.5,2022,,,,,
Keegan Murray,PF,-,-,-,-,-,2022,Sacramento Kings,Iowa,1,4,4
Andrew Nembhard,PG,10.46,3.02,3.26,26.5,35.0,2022,Indiana Pacers,Gonzaga,2,1,31
Scotty Pippen Jr.,PG,11.07,3.10,3.21,30.5,37.5,2022,,,,,
Gabriele Procida,SG-SF,11.02,3.14,3.07,29.5,35.0,2022,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2,6,36
Jared Rhoden,SG-SF,-,-,-,-,-,2022,,,,,
Orlando Robinson,C,11.40,3.23,3.55,23.0,27.5,2022,,,,,
David Roddy,PF,10.75,3.10,3.22,27.0,35.5,2022,Philadelphia 76ers,Colorado State,1,23,23
Ryan Rollins,SG,11.26,3.28,3.07,30.5,36.5,2022,Atlanta Hawks,Toledo,2,14,44
Marcus Sasser,PG,-,-,-,-,-,2022,,,,,
Dereon Seabron,SG,11.03,3.04,3.12,30.5,38.0,2022,,,,,
Shaedon Sharpe,SG,-,-,-,-,-,2022,Portland Trail Blazers,Kentucky,1,7,7
Terquavion Smith,SG,10.63,3.03,3.14,30.5,38.5,2022,,,,,
Jabari Smith,PF,-,-,-,-,-,2022,,,,,
Jeremy Sochan,PF,-,-,-,-,-,2022,San Antonio Spurs,Baylor,1,9,9
Matteo Spagnolo,PG,11.42,3.16,3.40,25.5,31.5,2022,Minnesota Timberwolves,Vanoli Cremona (Italy),2,20,50
Julian Strawther,SF,10.30,3.37,3.26,28.5,35.0,2022,,,,,
Dalen Terry,SG,-,-,-,-,-,2022,Chicago Bulls,Arizona State,1,18,18
Drew Timme,C,11.71,3.31,3.38,25.5,31.5,2022,,,,,
Jabari Walker,PF,11.53,3.12,3.24,29.5,32.5,2022,Portland Trail Blazers,Colorado,2,27,57
TyTy Washington Jr.,SG,-,-,-,-,-,2022,Memphis Grizzlies,Kentucky,1,29,29
Peyton Watson,SF,11.03,3.24,3.28,28.0,33.5,2022,Oklahoma City Thunder,California-Los Angeles,1,30,30
Blake Wesley,SG,11.55,3.25,3.21,30.0,36.0,2022,San Antonio Spurs,Notre Dame,1,25,25
Alondes Williams,SG,10.96,3.11,3.15,30.0,35.5,2022,,,,,
Jalen Williams,SG,11.13,3.17,3.11,33.5,39.0,2022,Oklahoma City Thunder,Santa Clara,1,12,12
Jaylin Williams,C,11.64,3.10,3.50,24.5,30.0,2022,Oklahoma City Thunder,Arkansas,2,4,34
Trevion Williams,C,12.75,3.46,3.48,27.5,30.0,2022,,,,,
Bryson Williams,PF-C,-,-,-,-,-,2022,,,,,
Mark Williams,C,-,-,-,-,-,2022,Charlotte Hornets,Duke,1,15,15
Jalen Wilson,SF-PF,-,-,-,-,-,2022,,,,,
Fanbo Zeng,SF-PF,-,-,-,-,-,2022,,,,,
